"sucursal","total_monto_trx","total_transacciones"
34,825562038,14584
12,780554108,12734
37,769998237,11457
28,623194259,12215
16,520237390,11579
45,511947995,7488
68,475135408,8528
71,461447898,10730
74,455789074,9493
88,445783370,8329
32,437088247,8254
19,397330525,7860
48,364078495,6354
57,340174311,6448
22,339615984,7196
72,330571116,5536
2,325670717,8225
46,314668324,6873
18,306398613,5621
4,284786686,5822
26,270155106,3740
78,249772134,4073
99,246321980,4223
49,224815736,2625
7,223462124,5607
41,215919882,3811
76,213480050,4151
3,208515803,4763
25,199670168,4193
98,187416787,3751
85,187080055,5022
79,175858890,3218
11,172889639,4635
23,170563437,3641
10,169140999,2247
97,165484967,3119
96,152621142,1790
84,142817154,2211
51,126621871,1527
63,108231000,28
69,107344679,2151
21,105243768,1922
29,90760818,1829
14,64929345,1354
58,3726459,292
94,3060897,272
77,2643794,247
55,849302,68
